294.852, 130.082, 6.692,  6.953 False
294.629, 130.096, 6.721,  6.986 False
294.404, 130.109, 6.752,  7.019 False
294.179, 130.123, 6.780,  7.052 False
293.953, 130.137, 6.811,  7.085 False
293.725, 130.151, 6.839,  7.118 False
293.497, 130.164, 6.869,  7.151 False
293.268, 130.178, 6.897,  7.184 False
293.038, 130.192, 6.928,  7.217 False
292.807, 130.206, 6.956,  7.250 False
292.574, 130.220, 6.988,  7.283 False
292.341, 130.234, 7.016,  7.316 False
292.107, 130.248, 7.047,  7.349 False
291.872, 130.263, 7.075,  7.382 False
291.636, 130.277, 7.106,  7.415 False
291.399, 130.291, 7.134,  7.448 False
291.161, 130.305, 7.166,  7.481 False
290.922, 130.321, 7.193,  7.514 False
290.682, 130.338, 7.224,  7.547 False
290.441, 130.353, 7.252,  7.580 False
290.199, 130.368, 7.283,  7.613 False
289.956, 130.383, 7.312,  7.646 False
289.712, 130.398, 7.343,  7.679 False
289.467, 130.413, 7.371,  7.712 False
289.221, 130.428, 7.402,  7.745 False
288.974, 130.443, 7.429,  7.778 False
288.726, 130.459, 7.460,  7.811 False
288.477, 130.474, 7.487,  7.844 False
288.227, 130.489, 7.517,  7.877 False
287.976, 130.503, 7.544,  7.910 False
287.725, 130.518, 7.575,  7.943 False
287.472, 130.533, 7.602,  7.976 False
287.218, 130.548, 7.633,  8.009 False
286.963, 130.563, 7.660,  8.042 False
286.708, 130.578, 7.691,  8.075 False
286.451, 130.592, 7.718,  8.108 False
286.193, 130.607, 7.749,  8.141 False
285.935, 130.621, 7.776,  8.174 False
285.675, 130.636, 7.807,  8.207 False
285.415, 130.651, 7.835,  8.240 False
285.153, 130.665, 7.866,  8.273 False
284.891, 130.679, 7.894,  8.306 False
284.627, 130.692, 7.924,  8.339 False
284.363, 130.704, 7.951,  8.372 False
284.097, 130.717, 7.983,  8.405 False
283.831, 130.728, 8.010,  8.438 False
283.563, 130.740, 8.042,  8.471 False
283.295, 130.752, 8.070,  8.504 False
